Geneid,Chr,Start,End,Strand,Length,ASAP186_ctrl_NP16-119_AMY_bulk,ASAP188_ctrl_NP16-293_AMY_bulk,ASAP189_ctrl_NP18-148_AMY_bulk,ASAP199_ctrl_NP19-218_AMY_bulk,ASAP200_ctrl_NP22-37_AMY_bulk,ASAP201_ctrl_NP22-75_AMY_bulk,ASAP185_PD_NP21-217_AMY_bulk,ASAP190_PD_NP21-57_AMY_bulk,ASAP191_PD_NP21-208_AMY_bulk,ASAP195_PD_NP22-55_AMY_bulk,ASAP196_PD_NP16-285_AMY_bulk,ASAP202_PD_NP19-137_AMY_bulk,ASAP204_PD_NP21-04_AMY_bulk,ASAP207_PD_NP23-21_AMY_bulk,ASAP159_ctrl_16-119_PFC_bulk,ASAP160_ctrl_NP17-216_PFC_bulk,ASAP161_ctrl_NP18-46_PFC_bulk,ASAP162_ctrl_NP18-148_PFC_bulk,ASAP165_ctrl_NP16-284_PFC_bulk,ASAP166_ctrl_NP16-293_PFC_bulk,ASAP167_ctrl_NP17-20_PFC_bulk,ASAP221_ctrl_NP19-218_PFC_bulk,ASAP223_ctrl_NP22-37_PFC_bulk,ASAP224_ctrl_NP22-75_PFC_bulk,ASAP229_ctrl_NP19-137_PFC_bulk,ASAP231_ctrl_NP23-21_PFC_bulk,ASAP156_PD_NP21-57_PFC_bulk,ASAP157_PD_NP21-208_PFC_bulk,ASAP158_PD_NP21-217_PFC_bulk,ASAP192_PD_NP22-55_PFC_bulk,ASAP227_PD_NP17-232_PFC_bulk,ASAP228_PD_NP19-91_PFC_bulk,ASAP168_ctrl_NP16-284_PUT_bulk,ASAP170_ctrl_NP17-20_PUT_bulk,ASAP172_ctrl_NP18-46_PUT_bulk,ASAP174_ctrl_NP16-119_PUT_bulk,ASAP176_ctrl_NP18-148_PUT_bulk,ASAP217_ctrl_NP19-218_PUT_bulk,ASAP218_ctrl_NP22-37_PUT_bulk,ASAP219_ctrl_NP22-75_PUT_bulk,ASAP163_PD_NP21-208_PUT_bulk,ASAP164_PD_NP21-217_PUT_bulk,ASAP173_PD_NP21-57_PUT_bulk,ASAP193_PD_NP22-55_PUT_bulk,ASAP214_PD_NP16-285_PUT_bulk,ASAP215_PD_NP17-232_PUT_bulk,ASAP216_PD_NP19-91_PUT_bulk,ASAP220_PD_NP19-137_PUT_bulk,ASAP222_PD_NP21-04_PUT_bulk,ASAP225_PD_NP23-21_PUT_bulk,ASAP175_ctrl_NP16-284_SN_bulk,ASAP180_ctrl_NP16-119_SN_bulk,ASAP181_ctrl_NP16-293_SN_bulk,ASAP184_ctrl_NP18-148_SN_bulk,ASAP203_ctrl_NP19-218_SN_bulk,ASAP206_ctrl_NP22-75_SN_bulk,ASAP177_PD_NP21-57_SN_bulk,ASAP178_PD_NP21-208_SN_bulk,ASAP179_PD_NP21-217_SN_bulk,ASAP194_PD_NP22-55_SN_bulk,ASAP208_PD_NP16-285_SN_bulk,ASAP209_PD_NP17-232_SN_bulk,ASAP211_PD_NP19-137_SN_bulk,ASAP212_PD_NP21-04_SN_bulk
L1HS_dup1005,chrX,64013268,64019286,-,6019,0,0,3.48007177247808,4.56885657815745,13.6626869087669,18.9879226823326,0,14.3725041476363,4.1127042491265,7.9703943919221,0,0,105.03559759936,2.1162382862062,8.44236205907105,9.63207121380172,0,2.62561751673791,4.06268292768292,0,0,0,8.38257964510692,10.4573340333854,0,3.94227264901322,8.39904247200854,18.3914098676814,0,1.36407928194394,1.42743491690468,1.03646419458891,0,0,8.7561278791426,2.22121182246141,2.22690099685672,4.40179517087027,3.3005137380482,12.5377707806631,11.5656794151475,6.05534725458256,1.61867124196818,0.840917927171986,0,1.36867170142287,0.667984063122335,0.603164828535336,5.65836271240814,0,31.087019507922,10.0131791873624,28.5863314339915,2.68459490372502,0,3.04339083513333,27.7552781225519,0,10.6435113034973,1.17492042881657,1.08139596705969,1.7100661823289,0.378098850903815,60.6318254632781
L1HS_dup1014,chrX,66180697,66186728,-,6032,3.74944212632574,0,6.96014354495616,11.7484883438335,16.6988395551596,25.3172302431102,29.0688557706242,15.128951734354,6.16905637368975,26.1884387163155,68.5289958201259,19.0179703958406,0,28.5692168637837,29.0206195780567,0,71.862234586957,8.31445546967005,2.03134146384146,106.457398171186,0,23.1861139750124,35.2068345094491,29.0986686146375,26.1722546981024,32.8522720751101,27.0635812986942,19.0482459343843,8.02721292695118,9.54855497360761,19.9840888366655,17.101659210717,49.7298326176692,58.7962831414679,0,33.3181773369211,35.3122872358709,23.3990164346262,36.7771530811085,15.3239420652549,28.9141985378688,28.2582871880519,51.3928119324897,21.8638661064716,25.2911421844654,83.4889737867949,61.788525838816,25.3329227984841,1.88612090413605,289.56882039737,12.9529247949675,13.7681213826233,0,4.69804108151878,6.7876939076064,40.7053524199083,11.8951191953794,12.7640195635116,24.8348597081603,0,44.8779326329772,39.3315221935646,7.18387816717249,2.12743247239572
L1HS_dup1019,chrX,73106143,73112170,+,6028,0,18.0668824152538,9.28019139327488,0,78.939968806209,0.791163445097193,0,14.3725041476363,19.5353451833509,2.27725554054917,0,1.40873854784004,0,4.2324765724124,3.69353340084359,0,0,7.87685255021373,0,2.66143495427964,0,13.2135918352221,11.7356115031497,1.81866678841485,0,1.31409088300441,22.3974465920228,14.4503934674639,7.64496469233446,0,9.99204441833276,15.0287308215392,9.94596652353384,0,4.3780639395713,26.6545418695369,15.9064356918337,18.9972212637559,16.9740706528193,2.08962846344386,39.6537579947915,33.304409900204,14.1633733672216,24.3866198879876,2.10759518203878,0,10.6877450099574,3.61898897121201,0,0,0,0,3.17625904822128,0,0,3.423814689525,0.793007946358625,24.1604656023612,0,8.22444300171598,0.540697983529845,0,0,0
L1HS_dup1020,chrX,73380992,73387013,+,6022,13.1230474421401,0,8.12016746911552,5.22155037503709,1.51807632319633,7.91163445097193,9.68961859020805,3.02579034687081,0,0,0,9.15680056096027,2.91765548887111,1.0581191431031,3.69353340084359,3.85282848552069,0.971111278202122,1.75041167782527,0,0,0,15.4574093166749,21.794707077278,1.81866678841485,1.96291910235768,33.5093175166123,4.66613470667141,15.1072295341668,0.382248234616723,1.36407928194394,21.4115237535702,4.14585677835565,0,1.4699070785367,0,8.88484728984563,15.5883069779971,0.695020290137411,1.41450588773494,2.08962846344386,4.95671974934894,3.02767362729128,8.90269183082498,0.840917927171986,2.81012690938505,13.6867170142287,30.3932748720662,4.22215379974735,1.88612090413605,3.30935794739852,0,2.5032947968406,19.0575542893277,4.02689235558753,0,12.9344110493167,0.793007946358625,0,0.886959275291439,1.17492042881657,0.540697983529845,6.84026472931559,7.18387816717249,0
L1HS_dup1077,chrX,130517378,130523407,+,6030,3.74944212632574,0,3.48007177247808,6.52693796879636,1.51807632319633,24.526066798013,9.68961859020805,18.9111896679426,5.14088031140813,0,0,0.70436927392002,0,0,1.05529525738388,0,0,0.437602919456318,12.1880487830488,2.66143495427964,37.7358644268992,0,5.02954778706415,0,0.65430636745256,11.1697725055374,6.53258858933998,10.5093770672465,0,6.82039640971972,0,7.77348145941683,0,8.81944247122018,0,4.44242364492281,1.90877228302005,6.4868560412825,21.2175883160241,6.26888539033157,4.13059979112411,0,2.83267467344431,1.68183585434397,4.91772209142383,2.0530075521343,1.66996015780584,5.42848345681802,16.9750881372244,0,7.7717548769805,11.2648265857827,0,2.01344617779376,0,3.04339083513333,11.8951191953794,27.3514704932391,0,0,18.3837314400147,0,0,0
L1HS_dup1104,chrX,155516017,155522048,-,6032,0,10.8401294491523,12.760263165753,0,19.7349922015522,3.16465378038877,1.93792371804161,6.80802828045932,5.14088031140813,7.9703943919221,0,9.15680056096027,23.3412439109689,11.6393105741341,8.44236205907105,7.70565697104138,10.6822240602233,2.18801459728159,52.8148780598779,0,53.9083777527132,0,16.7651592902138,6.36533375945196,7.19737004197816,0.657045441502203,1.86645388266857,3.94101640021744,8.40946116156791,8.18447569166366,11.4194793352374,7.77348145941683,13.2612886980451,0,10.2154825256664,9.99545320107633,10.4982475566103,0.695020290137411,13.6735569147711,0,4.95671974934894,1.51383681364564,2.83267467344431,2.52275378151596,17.5632931836565,20.530075521343,0.667984063122335,5.42848345681802,5.65836271240814,0,7.7717548769805,6.25823699210149,0,0,0,3.423814689525,2.37902383907587,2.27928920776993,4.4347963764572,0,15.6802415223655,0,1.89049425451908,7.44601365338502
L1HS_dup111,chr1,209913772,209919823,-,6052,18.7472106316287,32.5203883474568,3.48007177247808,11.7484883438335,95.6388083613686,40.3493356999569,1.93792371804161,1.5128951734354,1.02817606228163,6.83176662164751,0,2.11310782176006,0,12.6974297172372,8.44236205907105,0,0,2.62561751673791,22.344756102256,7.98430486283893,0,1.99450442795805,18.4416752192352,6.36533375945196,30.7523992702703,53.2206807616784,6.53258858933998,6.56836066702906,8.79170939618463,17.7330306652713,17.1292190028562,29.0209974484895,82.883054362782,20.5786990995138,1.45935464652377,15.5484827572298,12.0888911257936,7.18187633141991,26.8756118669639,6.96542821147952,4.95671974934894,21.1937153910389,4.04667810492045,17.6592764706117,4.91772209142383,11.6337094620944,3.00592828405051,8.4443075994947,11.3167254248163,0,5.181169917987,6.25823699210149,3.17625904822128,0,0,14.0756826124917,0,0.911715683107972,0,0,12.9767516047163,1.7100661823289,0,72.3327040614545
L1HS_dup1182,chr10,98782942,98788971,-,6030,0,0,4.64009569663744,0,1.51807632319633,7.91163445097193,9.68961859020805,0,2.05635212456325,0,0,28.1747709568008,0,49.7315997258457,5.80412391561135,11.5584854565621,8.74000150381909,1.75041167782527,0,252.836320656566,8.08625666290697,0.249313053494757,10.0590955741283,0.454666697103712,14.3947400839563,5.91340897351982,1.86645388266857,5.25468853362325,0.764496469233446,30.0097442027668,32.8310030888077,18.1381234053059,23.207255221579,24.9884203351238,35.0245115165704,3.33181773369211,27.359069389954,14.132079232794,33.4766393430603,0.696542821147952,5.78283970757376,1.00922454243043,14.5680411777136,5.8864254902039,11.9430393648864,24.6360906256116,25.0494023670876,4.82531862828269,5.65836271240814,44.67633228988,106.213983318733,5.00658959368119,19.0575542893277,4.02689235558753,0,0.380423854391666,76.128762850428,25.5280391270232,22.173981882286,18.7987268610651,49.2035165012159,10.2603970939734,9.07437242169156,1.06371623619786
L1HS_dup124,chr1,237075265,237081293,+,6029,215.59292226373,122.854800423726,118.322440264255,5.22155037503709,523.736331502733,117.092189874385,325.571184630991,92.2866055795597,21.5916973079141,184.457698784483,220.271772278976,217.650105641286,142.965118954685,339.656244936095,361.966273282671,13.4848996993224,73.8044571433612,43.3226890261755,156.413292715792,524.30268599309,83.5579855167054,37.1476449707188,211.241007056694,35.0093356769858,276.11728706498,168.860678466066,90.5230133094254,44.0080164690947,142.196343277421,85.9369947624685,182.711669363799,137.849737880325,305.009640055038,139.641172460986,49.6180579818081,332.07116745798,245.595367081913,40.3111768279698,400.776668191567,22.2893702767345,103.264994778103,245.241563810593,231.46998760145,201.820302521277,242.37344593446,416.760533083263,94.8537369633715,324.502677752011,373.451939018937,137.338354817038,2.5905849589935,6.25823699210149,0,1.34229745186251,6.7876939076064,11.0322917773583,11.8951191953794,27.3514704932391,3.54783710116576,27.0231698627811,15.1395435388357,6.84026472931559,1.89049425451908,30.847770849738
L1HS_dup1243,chr11,87340032,87346061,-,6030,3.74944212632574,0,2.32004784831872,0.652693796879636,1.51807632319633,3.16465378038877,0,0.756447586717702,0,1.13862777027459,4.89492827286613,7.74806201312023,0,2.1162382862062,12.1358954599146,0,0.971111278202122,2.18801459728159,0,2.66143495427964,0,3.4903827489266,0,1.36400009131113,4.58014457216792,0.657045441502203,0,1.97050820010872,0,0,4.28230475071404,2.07292838917782,26.5225773960902,42.6273052775642,2.91870929304753,2.22121182246141,2.22690099685672,5.79183575114509,7.07252943867471,2.08962846344386,4.13059979112411,0,12.5447021252534,0,9.83544418284766,2.73734340284574,1.0019760946835,1.80949448560601,0,0,0,16.2714161794639,22.233813337549,0.671148725931255,0,2.66296698074166,0.793007946358625,0.911715683107972,0,0,1.08139596705969,0,1.13429655271145,0
